feast,feast_code,feast_date
Octava Nat. Domini,02010100,Jan.1
Circumcisio Domini,02010110,Jan.1
Basilii,14010200,Jan.2
Octava Stephani,02010200,Jan.2
De allatione reliquiarum in ecclesia Pragensis,14010210,Jan.2
Adalhardi Corbeiensis,14010220,Jan.2
Genovefae,14010300,Jan.3
Oct. Joannis Evang.,02010300,Jan.3
Oct. Nat. Innocent.,02010400,Jan.4
Celsi Treverensis,14010400,Jan.4
"Edwardi, Conf., de morte",14010520,Jan.5
Exceptio Marcelli,14010540,Jan.5
Octava Thomae Cant.,14010510,Jan.5
"Severini, Apost.",14010530,Jan.5
Simeonis Stylitae,14010500,Jan.5
Vigilia Epiphaniae,05010500,Jan.5
Epiphania,05010600,Jan.6
Die 2 p. Epiphaniam,05010700,Jan.7
"Valentini, Epi.",14010700,Jan.7
Die 3 p. Epiphaniam,05010800,Jan.8
Gudulae,14010810,Jan.8
Wulsini,14010800,Jan.8
De secunda allatione reliquiarum in ecclesia Pragensis,14010820,Jan.8
"Juliani, Basilissae, et socii",14010900,Jan.9
Die 4 p. Epiphaniam,05010900,Jan.9
Die 5 p. Epiphaniam,05011000,Jan.10
Pauli Heremitae,14011010,Jan.10
Willelmi,14011000,Jan.10
Die 6 p. Epiphaniam,05011100,Jan.11
Die 7 p. Epiphaniam,05011200,Jan.12
Octava Epiphaniae,05011300,Jan.13
Agritii,14011300,Jan. 13
Felicis Nolani,14011410,Jan.14
Hilarii,14011400,Jan.14
Nominis Jesu,14011430,Jan.14
Pontiani,14011420,Jan.14
"Remigii, Hilarii",14011440,Jan.14
Inventio Firmini,14011520,Jan.15
Macarii,14011530,Jan.15
Mauri,14011510,Jan.15
Fursei,14011610,Jan.16
"Marcelli, Pont.",14011600,Jan.16
Sophiae viduae,14011620,Jan.16
Sanctorum Quinque Martyrum Ordinis Minorum,14011630,Jan.16
Antonii,14011700,Jan.17
Sabini,14011710,Jan.17
Speusippi,14011720,Jan.17
"Aquilae, Priscae",14011810,Jan.18
Priscae,14011800,Jan.18
Henrici,14011940,Jan.19
Launomari,14011930,Jan.19
"Marii, Marthae",14011900,Jan.19
Transl. Hugonis,14011910,Jan.19
Wulstani,14011920,Jan.19
Dagoberti regis,14011950,Jan.19
"Canuti Regis, Martyris",temp0009,Jan.19
"Fabiani, Sebastiani",14012000,Jan.20
Agnetis,14012100,Jan.21
Meginrati,14012110,Jan.21
"Fructuosi, Augurii et Eulogii",14012120,January 21
Anastasii,14012210,Jan.22
Vincentii,14012200,Jan.22
Gaudentii,14012220,Jan.22
"Vincentii, Anastasii",temp0159,Jan.22
"Vincentii, Orontii, Victoris",14012230,Jan.22
Emerentianae,14012300,Jan.23
Raymundi de Pennafort Confessoris,temp0124,Jan.23
Ildefonsi,14012301,Jan.23
Elevat. Auberti,14012410,Jan.24
Timothei,14012400,Jan.24
Descensio Mariae,temp0020,Jan.24
Babylae,14012420,Jan.24
Conversio Pauli,14012500,Jan.25
Praejecti,14012510,Jan.25
Paulae,14012610,Jan.26
Polycarpi,14012600,Jan.26
Joannis Chrysostomi,14012700,Jan.27
"Juliani, Epi.",14012710,Jan.27
Caroli Magni,14012810,Jan.28
Octava Agnetis,14012800,Jan.28
Cyrilli Alexandrini,14012820,Jan.28
Petri Nolasci Confessoris,temp0116,Jan.28
Joannis Abbatis Reomensis,14012830,Jan.28
Agnetis secundo,14012840,Jan.28
Constantii,14012920,Jan.29
Sulpicii Severi,14012910,Jan.29
Valerii,14012900,Jan.29
Francisci Salesii,14012930,Jan.29
Aldegundis,14013000,Jan.30
Balthildis,14013010,Jan.30
Martinae,14013020,Jan.30
"Cyri, Joannis",14013100,Jan.31
"Joannis Bosco, Confessoris",temp0054,Jan.31
Brigidae,14020100,Feb.1
Ignatii,14020110,Feb.1
Valerici,14020120,Feb.1
"Purificatio Mariae, Vigilia",14020130,Feb.1
Purificatio Mariae,14020200,Feb.2
Ansgarii,14020310,Feb.3
Blasii,14020300,Feb.3
Andreae Corsini,14020400,Feb.4
Agathae,14020500,Feb.5
Ingenuini et Albuini,14020510,Feb.5
Amandi,14020620,Feb.6
Dorotheae,14020610,Feb.6
Vedasti,14020600,Feb.6
"Titi Episcopi, Confessoris",temp0150,Feb.6
