network_1,network_2,edges_1,edges_2,shared_edges,edge_overlap_0.0,edge_overlap_0.2,edge_overlap_0.3,edge_overlap_0.4,edge_overlap_0.5,edge_overlap_0.6,edge_overlap_0.7,edge_overlap_0.8,num_partitions_1,num_partitions_2,n_shared_nodes,adjusted_rand_index,normalized_mutual_info
Dom. 1 Adventus,Dom. 2 Adventus,1390,2134,942,0.8900711578107335,0.8613132783438461,0.7803853529358049,0.7176151761517615,0.6909190371991247,0.620863810518983,0.551138901295221,0.3648334624322231,9,8,239,0.7494404025301276,0.7044206994882933
Dom. 1 Adventus,Dom. 3 Adventus,1390,1302,605,0.828959788559562,0.7930454719144058,0.7349555206698064,0.6679004729590787,0.634105534105534,0.564973670800068,0.44522636640863245,0.28988979396262576,9,8,241,0.7005462737966994,0.6589012509115432
Dom. 1 Adventus,Dom. 4 Adventus,1390,336,156,0.6856429897864438,0.6211667379831693,0.5015282940933499,0.3556760137600334,0.25614988558352403,0.1699251247920133,0.1123660584998552,0.09936305732484077,8,7,230,0.6920062951039924,0.6891416255549727
Dom. 1 Adventus,Nativitas Domini,1390,1209,509,0.5372478119735382,0.5829884230100174,0.532637792573272,0.4634721131186174,0.4304921968787515,0.38994032395566924,0.31341107871720114,0.24354066985645934,9,11,239,0.5827110842499316,0.567671392721432
Dom. 1 Adventus,Vigilia Nat. Domini,1390,1559,652,0.6715266831794641,0.6537767982368263,0.5766119888124575,0.4942612497722718,0.4849947040131811,0.4424778761061947,0.34570975775413176,0.28384849804092294,9,7,227,0.7529987516437764,0.642441432619942
Dom. 2 Adventus,Dom. 3 Adventus,2134,1302,824,0.8735511754305546,0.8308159451884148,0.7865507452093683,0.7523617450376818,0.7311531389545574,0.6371140828793131,0.47440644739708127,0.31546707503828486,8,7,241,0.8879081002085328,0.8027536916916579
Dom. 2 Adventus,Dom. 4 Adventus,2134,336,193,0.7322348094747683,0.6649616368286445,0.5266865572683573,0.3844391209249037,0.2789125034501794,0.16259415763365792,0.10671641791044777,0.08476064997804128,8,7,233,0.7672919773455581,0.7503130902714382
Dom. 2 Adventus,Nativitas Domini,2134,1209,709,0.5374599608968759,0.5774622680904373,0.5219795037756203,0.4704259355061217,0.4538632899519287,0.42157649703002087,0.3337768906631182,0.26917236142748674,8,12,235,0.48140608806166507,0.535415056715091
Dom. 2 Adventus,Vigilia Nat. Domini,2134,1559,817,0.6884166762905647,0.6671145448438025,0.5934455938986635,0.5391921800073773,0.5332943241661791,0.48720238095238094,0.3715721163910404,0.2840751043115438,7,7,227,0.7878923763202105,0.6949526794450471
Dom. 3 Adventus,Dom. 4 Adventus,1302,336,192,0.7913730776300472,0.7062063900110173,0.5710945979794606,0.3942268461852305,0.2711864406779661,0.17600452744765138,0.12530712530712532,0.13278008298755187,8,7,241,0.7673617578110965,0.7388062757980536
Dom. 3 Adventus,Nativitas Domini,1302,1209,464,0.5638178415470992,0.6188813293997231,0.5696323629902965,0.5066989368138992,0.4698141521412905,0.4158047834518423,0.3435251798561151,0.22667318026380068,8,11,246,0.5094007508101892,0.5631458795082754
Dom. 3 Adventus,Vigilia Nat. Domini,1302,1559,594,0.7354666356931296,0.6953020134228188,0.6374438266433087,0.5661589282437144,0.5531791907514451,0.49321266968325794,0.37407672146771503,0.2620202911336568,8,7,235,0.8299143473385564,0.7298300882868313
Dom. 4 Adventus,Nativitas Domini,336,1209,155,0.5555417597880971,0.5899586676391928,0.4789839944328462,0.3183082915971063,0.22367143055362843,0.1394273127753304,0.1210019267822736,0.11151079136690648,7,12,246,0.42119449669556697,0.517841730619227
Dom. 4 Adventus,Vigilia Nat. Domini,336,1559,179,0.6968354070791433,0.6438815172228923,0.5140451588212782,0.3421511627906977,0.2377795111804472,0.14534567229178008,0.1195193244559922,0.10431235431235432,6,7,232,0.6662324804000878,0.622934839003731
Nativitas Domini,Vigilia Nat. Domini,1209,1559,683,0.6269202944806161,0.7509162059755264,0.6748775367389783,0.6149825783972126,0.6070612141224282,0.5268612886508897,0.43281875357347055,0.3275779376498801,11,7,250,0.6035554899315945,0.590639205128079
