network_1,network_2,network_1_size,network_2_size,reducted_size,threshold_0.2_core1_size,threshold_0.2_core2_size,threshold_0.2_shared_core_size,threshold_0.2_jacc_core_overlap,threshold_0.4_core1_size,threshold_0.4_core2_size,threshold_0.4_shared_core_size,threshold_0.4_jacc_core_overlap,threshold_0.6_core1_size,threshold_0.6_core2_size,threshold_0.6_shared_core_size,threshold_0.6_jacc_core_overlap,threshold_0.8_core1_size,threshold_0.8_core2_size,threshold_0.8_shared_core_size,threshold_0.8_jacc_core_overlap
Dom_1_Adventus,Dom_2_Adventus,246,243,239,125,125,125,1.0,119,121,118,0.9672131147540983,110,115,107,0.9067796610169492,86,95,81,0.81
Dom_1_Adventus,Dom_3_Adventus,246,253,240,125,229,125,0.5458515283842795,118,117,115,0.9583333333333334,109,113,105,0.8974358974358975,85,96,78,0.7572815533980582
Dom_1_Adventus,Dom_4_Adventus,246,254,230,116,220,116,0.5272727272727272,109,107,105,0.9459459459459459,102,94,89,0.8317757009345794,53,19,15,0.2631578947368421
Dom_1_Adventus,Nativitas_Domini,246,304,237,121,226,120,0.5286343612334802,114,111,107,0.9067796610169492,105,99,92,0.8214285714285714,82,48,44,0.5116279069767442
Dom_1_Adventus,Vigilia_Nat_Domini,246,251,226,118,219,116,0.5248868778280543,111,115,110,0.9482758620689655,104,110,100,0.8771929824561403,82,91,72,0.7128712871287128
Dom_2_Adventus,Dom_3_Adventus,243,253,241,126,231,126,0.5454545454545454,121,118,116,0.943089430894309,115,114,112,0.9572649572649573,94,97,86,0.819047619047619
Dom_2_Adventus,Dom_4_Adventus,243,254,233,117,223,117,0.5246636771300448,112,108,106,0.9298245614035088,108,95,92,0.8288288288288288,89,19,17,0.18681318681318682
Dom_2_Adventus,Nativitas_Domini,243,304,235,122,226,121,0.5330396475770925,117,111,108,0.9,110,99,94,0.8173913043478261,88,75,68,0.7157894736842105
Dom_2_Adventus,Vigilia_Nat_Domini,243,251,226,118,219,116,0.5248868778280543,115,115,113,0.9658119658119658,110,110,106,0.9298245614035088,88,91,79,0.79
Dom_3_Adventus,Dom_4_Adventus,253,254,241,229,230,229,0.9956521739130435,110,109,106,0.9380530973451328,108,96,92,0.8214285714285714,91,19,15,0.15789473684210525
Dom_3_Adventus,Nativitas_Domini,253,304,245,232,234,229,0.9662447257383966,114,111,107,0.9067796610169492,111,99,95,0.8260869565217391,94,75,71,0.7244897959183674
Dom_3_Adventus,Vigilia_Nat_Domini,253,251,234,227,227,224,0.9739130434782609,112,115,111,0.9568965517241379,110,111,107,0.9385964912280702,94,92,83,0.8058252427184466
Dom_4_Adventus,Nativitas_Domini,254,304,246,235,234,231,0.9705882352941176,109,110,0,0.0,94,97,88,0.8543689320388349,18,75,11,0.13414634146341464
Dom_4_Adventus,Vigilia_Nat_Domini,254,251,231,227,224,224,0.986784140969163,109,111,108,0.9642857142857143,95,108,93,0.8454545454545455,17,89,17,0.19101123595505617
Nativitas_Domini,Vigilia_Nat_Domini,304,251,248,243,241,239,0.9755102040816327,120,125,118,0.9291338582677166,107,121,105,0.8536585365853658,85,101,78,0.7222222222222222
