network_1,network_2,edges_1_whole_day,edges_2_whole_day,shared_edges_whole_day,edge_overlap_0.0_whole_day,edge_overlap_0.2_whole_day,edge_overlap_0.3_whole_day,edge_overlap_0.4_whole_day,edge_overlap_0.5_whole_day,edge_overlap_0.6_whole_day,edge_overlap_0.7_whole_day,edge_overlap_0.8_whole_day,edges_1_L,edges_2_L,shared_edges_L,edge_overlap_0.0_L,edge_overlap_0.2_L,edge_overlap_0.3_L,edge_overlap_0.4_L,edge_overlap_0.5_L,edge_overlap_0.6_L,edge_overlap_0.7_L,edge_overlap_0.8_L,edges_1_V,edges_2_V,shared_edges_V,edge_overlap_0.0_V,edge_overlap_0.2_V,edge_overlap_0.3_V,edge_overlap_0.4_V,edge_overlap_0.5_V,edge_overlap_0.6_V,edge_overlap_0.7_V,edge_overlap_0.8_V,edges_1_V2,edges_2_V2,shared_edges_V2,edge_overlap_0.0_V2,edge_overlap_0.2_V2,edge_overlap_0.3_V2,edge_overlap_0.4_V2,edge_overlap_0.5_V2,edge_overlap_0.6_V2,edge_overlap_0.7_V2,edge_overlap_0.8_V2,edges_1_M,edges_2_M,shared_edges_M,edge_overlap_0.0_M,edge_overlap_0.2_M,edge_overlap_0.3_M,edge_overlap_0.4_M,edge_overlap_0.5_M,edge_overlap_0.6_M,edge_overlap_0.7_M,edge_overlap_0.8_M
Dom. 1 Adventus,Dom. 2 Adventus,1390,2134,942,0.8900711578107335,0.8613132783438461,0.7803853529358049,0.7176151761517615,0.6909190371991247,0.620863810518983,0.551138901295221,0.3648334624322231,350,639,79,0.8545801526717557,0.8288781770376863,0.8122897510652612,0.7342093130474873,0.5862837335974251,0.37700706486833657,0.19424083769633507,0.08681318681318681,34,33,0,0.2336919203479057,0.1656027037176117,0.09624413145539906,0.0584045584045584,0.04246284501061571,0.015625,0.010526315789473684,0.0,41,195,4,0.4724208375893769,0.3264686022957461,0.1902964959568733,0.12727272727272726,0.09895833333333333,0.05357142857142857,0.01606425702811245,0.017241379310344827,35,62,12,0.7851889000334337,0.7726445152480655,0.573833431777909,0.3901125795398923,0.3473895582329317,0.34438775510204084,0.3157894736842105,0.1411764705882353
Dom. 1 Adventus,Dom. 3 Adventus,1390,1302,605,0.828959788559562,0.7930454719144058,0.7349555206698064,0.6679004729590787,0.634105534105534,0.564973670800068,0.44522636640863245,0.28988979396262576,350,1170,110,0.7909407665505227,0.7817499506221608,0.7802509105625253,0.7132794696498861,0.6135076252723312,0.38420382165605094,0.18805545680767863,0.07801418439716312,34,44,0,0.3535990239934933,0.24026969046889365,0.124375,0.07322654462242563,0.041736227045075125,0.023696682464454975,0.008849557522123894,0.0,41,92,2,0.35315886862278617,0.22910764872521247,0.12020138451856513,0.07809110629067245,0.06821480406386067,0.05714285714285714,0.013245033112582781,0.015267175572519083,35,65,12,0.7121212121212122,0.688451390298356,0.5206240084611317,0.34553014553014555,0.29335634167385677,0.2824742268041237,0.25,0.13636363636363635
Dom. 1 Adventus,Dom. 4 Adventus,1390,336,156,0.6856429897864438,0.6211667379831693,0.5015282940933499,0.3556760137600334,0.25614988558352403,0.1699251247920133,0.1123660584998552,0.09936305732484077,350,781,84,0.6986065445436042,0.7149184975194898,0.7111070911722142,0.6502803738317757,0.5480885311871228,0.34123739438539114,0.189873417721519,0.08022922636103152,34,37,0,0.15181447283659008,0.118734447209385,0.07218045112781955,0.03361344537815126,0.028112449799196786,0.005494505494505495,0.010752688172043012,0.0,41,40,0,0.08442669709070165,0.07372481783111873,0.0322061191626409,0.018309859154929577,0.013779527559055118,0.023255813953488372,0.02040816326530612,0.0,35,97,17,0.6530472806777808,0.6122914837576822,0.4066975104648601,0.3149937001259975,0.3134057971014493,0.2882703777335984,0.2605042016806723,0.14782608695652175
Dom. 1 Adventus,Nativitas Domini,1390,1209,509,0.5372478119735382,0.5829884230100174,0.532637792573272,0.4634721131186174,0.4304921968787515,0.38994032395566924,0.31341107871720114,0.24354066985645934,350,119,9,0.577979274611399,0.5347918136908962,0.4926190838532948,0.35513385293120975,0.22443890274314215,0.11266201395812563,0.04730713245997089,0.01956521739130435,34,22,1,0.22794552989934871,0.10214285714285715,0.059880239520958084,0.025899280575539568,0.012106537530266344,0.005649717514124294,0.011494252873563218,0.01818181818181818,41,121,1,0.40083417229972673,0.22642514651038892,0.13032422123331214,0.08230790265244736,0.05465116279069768,0.02382782475019216,0.01953125,0.006211180124223602,35,50,12,0.5359708373539187,0.48344464970868267,0.3648578811369509,0.23376623376623376,0.15682656826568267,0.17216117216117216,0.2756756756756757,0.1643835616438356
Dom. 1 Adventus,Vigilia Nat. Domini,1390,1559,652,0.6715266831794641,0.6537767982368263,0.5766119888124575,0.4942612497722718,0.4849947040131811,0.4424778761061947,0.34570975775413176,0.28384849804092294,350,101,12,0.6685975609756097,0.6418269230769231,0.584470675027665,0.4078326840270658,0.22492401215805471,0.09591755846214824,0.05533279871692061,0.02733485193621868,34,78,0,0.13700384122919335,0.09730925175082934,0.04621212121212121,0.03234501347708895,0.02462121212121212,0.0,0.0,0.0,41,40,0,0.12892072116571993,0.06482593037214886,0.041328413284132844,0.03482587064676617,0.043052837573385516,0.04975124378109453,0.017857142857142856,0.0,35,50,8,0.6645613071536455,0.5592356687898089,0.37418755803156917,0.20853658536585365,0.1542649727767695,0.17142857142857143,0.20540540540540542,0.1038961038961039
Dom. 2 Adventus,Dom. 3 Adventus,2134,1302,824,0.8735511754305546,0.8308159451884148,0.7865507452093683,0.7523617450376818,0.7311531389545574,0.6371140828793131,0.47440644739708127,0.31546707503828486,639,1170,304,0.8059484947406601,0.7825557809330629,0.7749587458745875,0.7242902208201892,0.6120746432491767,0.43926443926443925,0.2892768079800499,0.2019933554817276,33,44,1,0.2623587570621469,0.1938305709023941,0.11405835543766578,0.09076433121019108,0.07551020408163266,0.09740259740259741,0.0625,0.013157894736842105,195,92,10,0.4991049051199427,0.39964633068081346,0.2351421188630491,0.14727085478887744,0.13154960981047936,0.06042296072507553,0.03571428571428571,0.036101083032490974,62,65,26,0.797423887587822,0.7825729551993423,0.6361200428724545,0.45514950166112955,0.40858369098712444,0.38414634146341464,0.358974358974359,0.25742574257425743
Dom. 2 Adventus,Dom. 4 Adventus,2134,336,193,0.7322348094747683,0.6649616368286445,0.5266865572683573,0.3844391209249037,0.2789125034501794,0.16259415763365792,0.10671641791044777,0.08476064997804128,639,781,168,0.7167318982387475,0.741519174041298,0.7284088789404962,0.6675552170601675,0.5459886547811994,0.3532725321888412,0.2708247845711941,0.134185303514377,33,37,1,0.18668746749869994,0.12941961307538358,0.0910209102091021,0.06593406593406594,0.0641025641025641,0.030303030303030304,0.012345679012345678,0.014492753623188406,195,40,0,0.08753315649867374,0.0705596107055961,0.030612244897959183,0.023058252427184466,0.02056555269922879,0.019011406844106463,0.0,0.0,62,97,33,0.7387767399819223,0.7103658536585366,0.506145251396648,0.3999176276771005,0.4014084507042254,0.39447731755424065,0.33070866141732286,0.2619047619047619
Dom. 2 Adventus,Nativitas Domini,2134,1209,709,0.5374599608968759,0.5774622680904373,0.5219795037756203,0.4704259355061217,0.4538632899519287,0.42157649703002087,0.3337768906631182,0.26917236142748674,639,119,23,0.550935007192363,0.5055178268251274,0.4728860294117647,0.34606894209543215,0.22432262129804661,0.10678992668154287,0.05405405405405406,0.031292517006802724,33,22,0,0.12343470483005367,0.09898989898989899,0.054086538461538464,0.04308390022675737,0.035483870967741936,0.007692307692307693,0.013333333333333334,0.0,195,121,7,0.28998242530755713,0.21008249312557287,0.13827571845064557,0.08284652150823155,0.07142857142857142,0.02446043165467626,0.023291925465838508,0.022653721682847898,62,50,12,0.5032201724702543,0.5088062622309197,0.3769128409846973,0.23731419784725782,0.13971830985915493,0.1515650741350906,0.23423423423423423,0.12
Dom. 2 Adventus,Vigilia Nat. Domini,2134,1559,817,0.6884166762905647,0.6671145448438025,0.5934455938986635,0.5391921800073773,0.5332943241661791,0.48720238095238094,0.3715721163910404,0.2840751043115438,639,101,22,0.6670327946022282,0.6392549639782112,0.5770892018779342,0.411214953271028,0.23142414860681115,0.11158137745286649,0.07417397167902899,0.03064066852367688,33,78,1,0.1470888661899898,0.11493411420204978,0.07261146496815286,0.053388090349075976,0.04470588235294118,0.03636363636363636,0.008264462809917356,0.00909090909090909,195,40,1,0.12453646477132262,0.06896551724137931,0.05037440435670524,0.040437158469945354,0.037037037037037035,0.02711864406779661,0.008032128514056224,0.004273504273504274,62,50,10,0.6327452364149612,0.5996773036930799,0.3987962550156041,0.24558032282859338,0.1724709784411277,0.17987152034261242,0.18099547511312217,0.09803921568627451
Dom. 3 Adventus,Dom. 4 Adventus,1302,336,192,0.7913730776300472,0.7062063900110173,0.5710945979794606,0.3942268461852305,0.2711864406779661,0.17600452744765138,0.12530712530712532,0.13278008298755187,1170,781,206,0.7776530939403655,0.8250676284941388,0.826715462031107,0.7856471914334022,0.7041864139020537,0.4717070851165002,0.2937149968886123,0.1180515759312321,44,37,0,0.2288781163434903,0.17207647843485993,0.10775862068965517,0.06750392464678179,0.055876685934489405,0.03289473684210526,0.0,0.0,92,40,0,0.09292035398230089,0.07398273736128237,0.05005324813631523,0.030828516377649325,0.03260869565217391,0.01764705882352941,0.0,0.0,65,97,36,0.8524215656411819,0.8155094679891794,0.5954555580307418,0.41922213911742706,0.40707964601769914,0.45027124773960214,0.3680297397769517,0.2857142857142857
