office,feast,mean_rank,density,lcc_fraction,num_components,avg_distances,clustering,avg_degree,max_degree,betweenness_mean,modularity
Whole day,Dom. 1 Adventus,37.44444444444444,0.4713660702625049,0.4717741935483871,5,0.07062971465846317,0.39534335270696463,116.4274193548387,234,0.006722155506784269,0.42691273299176236
Whole day,Dom. 2 Adventus,34.55555555555556,0.4755977281229806,0.45267489711934156,4,0.1438369484916123,0.4311603843388155,115.09465020576131,236,0.00808848505734377,0.4101982799210154
Whole day,Dom. 3 Adventus,36.888888888888886,0.4552301515670225,0.46062992125984253,7,0.1391112287609548,0.4084722071432884,115.1732283464567,239,0.007020985025093207,0.43845071688325316
Whole day,Dom. 4 Adventus,39.44444444444444,0.4547010675049018,0.4881889763779528,4,0.13300275489061122,0.3056098876944244,115.03937007874016,242,0.0072127224215550135,0.49522741016187366
Whole day,Nativitas Domini,41.111111111111114,0.49557808455565144,0.4491803278688525,6,0.026043672249462555,0.2710738524265864,150.65573770491804,278,0.0050091549275721355,0.4529501674414605
Whole day,Vigilia Nat. Domini,36.111111111111114,0.4785745655310873,0.4782608695652174,5,0.16186714192521762,0.4243007472390354,120.60079051383399,244,0.006503504771303142,0.4293433023147297
Whole day,Dom. 1 Quadragesimae,38.55555555555556,0.4905803835431275,0.48314606741573035,6,0.09941880303186046,0.4206132455356689,130.4943820224719,256,0.005352473828199926,0.4374005682269616
Whole day,Dom. 2 Quadragesimae,39.666666666666664,0.42278444825614636,0.47547169811320755,6,0.12306090727603221,0.27215795846210084,111.61509433962264,213,0.005006119738166513,0.4913947617380428
Whole day,Dom. 3 Quadragesimae,37.55555555555556,0.4801327140013271,0.44,6,0.13122583189317866,0.4785210738368736,131.55636363636364,261,0.006751107773005584,0.4093748245996382
Whole day,Dom. 4 Quadragesimae,39.55555555555556,0.4812954533563543,0.516245487364621,6,0.13272025935018333,0.4607983157990016,132.8375451263538,264,0.006845792725560428,0.41506242693474593
Whole day,Dom. in Palmis,43.55555555555556,0.7044290834613415,0.4642857142857143,3,0.04729437551272126,0.22307265477257762,196.53571428571428,270,0.00575760589684934,0.3935049401911325
Whole day,Dom. Resurrectionis,39.666666666666664,0.6318893634329876,0.4395973154362416,6,0.03357784569756854,0.1638126778435994,187.6711409395973,276,0.0047722753259666,0.3766657136163104
Lauds,Dom. 1 Adventus,25.555555555555557,0.9697146185206756,0.30392156862745096,4,0.19703244346177157,0.5321290871965014,97.94117647058823,101,0.010306736556008545,0.03918593597264579
Lauds,Dom. 2 Adventus,24.11111111111111,0.9488888888888889,0.34,4,0.23168905701481457,0.524249410905334,93.94,99,0.009520202020202019,0.049459367680294325
Lauds,Dom. 3 Adventus,28.11111111111111,0.9303473814142127,0.3177570093457944,4,0.31644940798483506,0.556992760892215,98.61682242990655,105,0.011047014467927888,0.05149847506974479
Lauds,Dom. 4 Adventus,26.11111111111111,0.887719298245614,0.40869565217391307,3,0.23121714201603824,0.5427964839519321,101.2,111,0.008764504566533687,0.044124675612877105
Lauds,Nativitas Domini,29.22222222222222,0.953885112621618,0.3902439024390244,3,0.21829866468642536,0.4447087777206616,116.3739837398374,121,0.007832679600336175,0.040989275389265195
Lauds,Vigilia Nat. Domini,24.444444444444443,0.9831526271893244,0.38181818181818183,3,0.20201946199987653,0.35904659288363056,107.16363636363636,109,0.008043740153831897,0.08051014947325558
Lauds,Dom. 1 Quadragesimae,31.0,0.9685694869181107,0.25688073394495414,3,0.23457201701474462,0.5524405264287533,104.60550458715596,108,0.009325946884893983,0.048859815355344886
Lauds,Dom. 2 Quadragesimae,34.666666666666664,0.9774020227560051,0.35398230088495575,3,0.2560332208362438,0.5673979507701572,109.46902654867256,112,0.008069384175578866,0.037338811592059054
Lauds,Dom. 3 Quadragesimae,30.0,0.9528255528255528,0.2702702702702703,4,0.24664868974587859,0.5143876253326917,104.8108108108108,109,0.007991644688892394,0.06022851309916687
Lauds,Dom. 4 Quadragesimae,27.77777777777778,0.9423198482932996,0.22123893805309736,4,0.2352040861232038,0.5461593369608481,105.53982300884955,110,0.009800144645277389,0.056063281891411416
Lauds,Dom. in Palmis,36.111111111111114,0.9618725868725869,0.19642857142857142,3,0.2836911163591836,0.5332939967672641,106.76785714285714,110,0.008186351936351937,0.039477463494855605
Lauds,Dom. Resurrectionis,29.0,0.9395174991505266,0.5779816513761468,4,0.15873629941191236,0.41914949136008334,101.46788990825688,106,0.007530144394587504,0.042217298115107466
Vespers,Dom. 1 Adventus,15.0,0.8360582306830907,0.42105263157894735,5,0.1966540640674002,0.27397932579343875,78.58947368421053,89,0.009169285602475647,0.1367216936631054
Vespers,Dom. 2 Adventus,41.55555555555556,0.4125874125874126,0.16666666666666666,7,0.25747967675599254,0.23953133451463104,31.76923076923077,58,0.01488862015177805,0.2851428042299117
Vespers,Dom. 3 Adventus,23.77777777777778,0.6414928004701734,0.30120481927710846,8,0.18611544742754862,0.24707369745195518,52.602409638554214,71,0.012037309128111361,0.2002663990503136
Vespers,Dom. 4 Adventus,43.111111111111114,0.3623063683304647,0.011904761904761904,11,0.3382342900763953,0.2903661318477264,30.071428571428573,63,0.011311214661199972,0.2831802278858391
Vespers,Nativitas Domini,37.666666666666664,0.5155073772959952,0.04878048780487805,9,0.1878747105651917,0.21139785233198732,41.75609756097561,61,0.015781202950918397,0.1669183752448303
Vespers,Vigilia Nat. Domini,37.44444444444444,0.4875886524822695,0.1875,8,0.17057790321802394,0.23133961362202496,22.916666666666668,37,0.018829016342892385,0.20339028637762702
Vespers,Dom. 1 Quadragesimae,19.333333333333332,0.8105263157894737,0.22916666666666666,5,0.18683983026810755,0.2553723811077752,77.0,90,0.006933946124175688,0.1397248901124645
Vespers,Dom. 2 Quadragesimae,22.22222222222222,0.5747126436781609,0.42528735632183906,5,0.20166363767428494,0.2283227350639981,49.42528735632184,83,0.010312855428191058,0.2996586119450444
Vespers,Dom. 3 Quadragesimae,29.333333333333332,0.4511860174781523,0.3333333333333333,6,0.21969673365788747,0.21537707577115617,40.15555555555556,67,0.009778969469980704,0.4053641956890166
Vespers,Dom. 4 Quadragesimae,27.88888888888889,0.8826735513482501,0.21428571428571427,4,0.24441814834768766,0.3054965802839294,73.26190476190476,80,0.0064443313322978335,0.15733991591788393
