network_1,network_2,network_1_size,network_2_size,reducted_size,threshold_0.2_core1_size,threshold_0.2_core2_size,threshold_0.2_shared_core_size,threshold_0.2_jacc_core_overlap,threshold_0.4_core1_size,threshold_0.4_core2_size,threshold_0.4_shared_core_size,threshold_0.4_jacc_core_overlap,threshold_0.6_core1_size,threshold_0.6_core2_size,threshold_0.6_shared_core_size,threshold_0.6_jacc_core_overlap,threshold_0.8_core1_size,threshold_0.8_core2_size,threshold_0.8_shared_core_size,threshold_0.8_jacc_core_overlap
Dom_1_Quadragesimae,Dom_2_Quadragesimae,264,264,247,239,117,117,0.4895397489539749,119,110,109,0.9083333333333333,116,87,83,0.6916666666666667,97,24,21,0.21
Dom_1_Quadragesimae,Dom_3_Quadragesimae,264,273,253,246,246,245,0.9919028340080972,130,130,129,0.9847328244274809,122,122,117,0.9212598425196851,110,113,100,0.8130081300813008
Dom_1_Quadragesimae,Dom_4_Quadragesimae,264,275,250,244,236,236,0.9672131147540983,128,127,126,0.9767441860465116,121,119,115,0.92,105,107,90,0.7377049180327869
Dom_1_Quadragesimae,Dom_Resurrectionis,264,296,224,215,216,211,0.9590909090909091,118,98,98,0.8305084745762712,115,85,84,0.7241379310344828,105,32,27,0.24545454545454545
Dom_1_Quadragesimae,Dom_in_Palmis,264,280,246,240,243,239,0.9795081967213115,126,121,121,0.9603174603174603,118,107,105,0.875,106,57,53,0.4818181818181818
Dom_2_Quadragesimae,Dom_3_Quadragesimae,264,273,255,122,245,122,0.49795918367346936,114,126,114,0.9047619047619048,92,119,87,0.7016129032258065,27,111,26,0.23214285714285715
Dom_2_Quadragesimae,Dom_4_Quadragesimae,264,275,253,122,236,122,0.5169491525423728,114,124,113,0.904,91,120,87,0.7016129032258065,27,108,25,0.22727272727272727
Dom_2_Quadragesimae,Dom_Resurrectionis,264,296,223,112,213,109,0.5046296296296297,105,94,88,0.7927927927927928,79,84,59,0.5673076923076923,24,51,14,0.22950819672131148
Dom_2_Quadragesimae,Dom_in_Palmis,264,280,246,117,243,117,0.48148148148148145,109,116,104,0.859504132231405,86,108,79,0.6869565217391305,24,57,13,0.19117647058823528
Dom_3_Quadragesimae,Dom_4_Quadragesimae,273,275,265,256,250,250,0.9765625,140,138,138,0.9857142857142858,129,130,127,0.9621212121212122,120,117,112,0.896
Dom_3_Quadragesimae,Dom_Resurrectionis,273,296,238,227,228,222,0.9527896995708155,130,108,108,0.8307692307692308,122,93,93,0.7622950819672131,115,52,52,0.45217391304347826
Dom_3_Quadragesimae,Dom_in_Palmis,273,280,261,250,256,249,0.9688715953307393,137,131,131,0.9562043795620438,126,117,114,0.8837209302325582,118,63,60,0.49586776859504134
Dom_4_Quadragesimae,Dom_Resurrectionis,275,296,235,225,227,220,0.9482758620689655,130,108,108,0.8307692307692308,123,93,93,0.7560975609756098,108,56,53,0.4774774774774775
Dom_4_Quadragesimae,Dom_in_Palmis,275,280,261,250,257,249,0.9651162790697675,133,129,128,0.9552238805970149,125,115,112,0.875,109,60,54,0.46956521739130436
Dom_Resurrectionis,Dom_in_Palmis,296,280,245,235,239,233,0.966804979253112,110,130,106,0.7910447761194029,96,116,88,0.7096774193548387,58,59,35,0.4268292682926829
