office,feast,mean_rank,density,lcc_fraction,num_components,avg_distances,clustering,avg_degree,max_degree,betweenness_mean,modularity
Whole day,Dom. 1 Quadragesimae,19.22222222222222,0.4905803835431275,0.48314606741573035,6,0.09941880303186046,0.4206132455356689,130.4943820224719,256,0.005352473828199926,0.4374005682269616
Whole day,Dom. 2 Quadragesimae,19.666666666666668,0.42278444825614636,0.47547169811320755,6,0.12306090727603221,0.27215795846210084,111.61509433962264,213,0.005006119738166513,0.4913947617380428
Whole day,Dom. 3 Quadragesimae,20.333333333333332,0.4801327140013271,0.52,6,0.13122583189317866,0.4785210738368736,131.55636363636364,261,0.006751107773005584,0.4093748245996382
Whole day,Dom. 4 Quadragesimae,18.77777777777778,0.4812954533563543,0.4584837545126354,6,0.13272025935018333,0.46079831579900155,132.8375451263538,264,0.006845792725560428,0.41506242693474593
Whole day,Dom. in Palmis,21.444444444444443,0.7044290834613415,0.4607142857142857,3,0.04729437551272126,0.22307265477257762,196.53571428571428,270,0.00575760589684934,0.39354683744331237
Whole day,Dom. Resurrectionis,20.0,0.6318893634329876,0.43288590604026844,6,0.03357784569756854,0.1638126778435994,187.6711409395973,276,0.0047722753259666,0.37663870964912577
Lauds,Dom. 1 Quadragesimae,17.333333333333332,0.9685694869181107,0.4954128440366973,3,0.23457201701474462,0.5524405264287533,104.60550458715596,108,0.009325946884893983,0.048859815355344886
Lauds,Dom. 2 Quadragesimae,15.88888888888889,0.9774020227560051,0.3185840707964602,3,0.2560332208362438,0.5673979507701572,109.46902654867256,112,0.008069384175578866,0.038126665699769864
Lauds,Dom. 3 Quadragesimae,13.555555555555555,0.9528255528255528,0.24324324324324326,4,0.24664868974587859,0.5143876253326919,104.8108108108108,109,0.007991644688892394,0.06022851309916687
Lauds,Dom. 4 Quadragesimae,14.444444444444445,0.9423198482932996,0.22123893805309736,4,0.2352040861232038,0.5461593369608482,105.53982300884955,110,0.009800144645277389,0.056069606377545496
Lauds,Dom. in Palmis,16.11111111111111,0.9618725868725869,0.19642857142857142,3,0.2836911163591836,0.5332939967672641,106.76785714285714,110,0.008186351936351937,0.04022038588459026
Lauds,Dom. Resurrectionis,13.222222222222221,0.9395174991505266,0.06422018348623854,5,0.15873629941191236,0.4191494913600834,101.46788990825688,106,0.007530144394587504,0.04297223416670677
Vespers,Dom. 1 Quadragesimae,10.0,0.8105263157894737,0.22916666666666666,6,0.18683983026810755,0.2553723811077752,77.0,90,0.006933946124175688,0.13745638312375963
Vespers,Dom. 2 Quadragesimae,12.11111111111111,0.5747126436781609,0.28735632183908044,5,0.20166363767428494,0.22832273506399817,49.42528735632184,83,0.010312855428191058,0.2987718053114292
Vespers,Dom. 3 Quadragesimae,18.11111111111111,0.4511860174781523,0.4,6,0.21969673365788747,0.21537707577115617,40.15555555555556,67,0.009778969469980704,0.4053641956890166
Vespers,Dom. 4 Quadragesimae,13.444444444444445,0.8826735513482501,0.21428571428571427,4,0.24441814834768766,0.3054965802839294,73.26190476190476,80,0.0064443313322978335,0.15733991591788393
Vespers,Dom. in Palmis,11.88888888888889,0.5790436970944864,0.32978723404255317,9,0.21061743440879038,0.24208029892954833,53.851063829787236,80,0.008124819710940687,0.2615778956405444
Vespers,Dom. Resurrectionis,12.11111111111111,0.7306964022722491,0.42857142857142855,10,0.22457179165970376,0.35199586113340725,70.87755102040816,86,0.007344228498959721,0.11792151532066399
Second Vespers,Dom. 1 Quadragesimae,10.222222222222221,0.5995145631067961,0.3269230769230769,5,0.19889894915258574,0.2081414934356216,61.75,98,0.0073667458643900665,0.26858379582786873
Second Vespers,Dom. 2 Quadragesimae,20.11111111111111,0.4169046259280411,0.1553398058252427,9,0.42913008165018063,0.3645082370607579,42.52427184466019,70,0.010409085291330798,0.35273216172609073
Second Vespers,Dom. 3 Quadragesimae,11.222222222222221,0.8801980198019802,0.0891089108910891,7,0.2141747264354039,0.31157006006258914,88.01980198019803,96,0.0052375237523752385,0.17871109263534227
Second Vespers,Dom. 4 Quadragesimae,23.77777777777778,0.2198019801980198,0.19801980198019803,10,0.4566544317944094,0.3391686595190895,21.980198019801982,53,0.01273087308730873,0.5376595232655257
Second Vespers,Dom. in Palmis,12.333333333333334,0.5065934065934066,0.09523809523809523,6,0.1885849958182575,0.2331787665719893,52.68571428571428,99,0.0084708441504558,0.33182401430223296
Second Vespers,Dom. Resurrectionis,17.333333333333332,0.43652743652743653,0.25225225225225223,10,0.13622698423987786,0.13241354858159096,48.01801801801802,83,0.008152439345099896,0.27106646075303226
Matins,Dom. 1 Quadragesimae,16.22222222222222,0.9484552088185064,0.06140350877192982,4,0.08843290371931209,0.3851859462553444,107.17543859649123,112,0.01052548406414266,0.06945052375389549
Matins,Dom. 2 Quadragesimae,11.333333333333334,0.8817832217632816,0.46218487394957986,5,0.16631427615361696,0.3962164047667072,104.05042016806723,115,0.013060939282275273,0.07448164182808945
Matins,Dom. 3 Quadragesimae,15.11111111111111,0.9251930501930502,0.4107142857142857,3,0.3653014626187429,0.4625002031600742,102.69642857142857,110,0.009402421902421904,0.06395461397997489
Matins,Dom. 4 Quadragesimae,14.0,0.8950419527078566,0.06956521739130435,6,0.1354119842720901,0.4471217381693557,102.03478260869565,111,0.016123610295457762,0.08537489924630144
Matins,Dom. in Palmis,13.444444444444445,0.9447391688771,0.042735042735042736,7,0.08258004560246873,0.3083542517584781,109.58974358974359,113,0.00822665590281782,0.11305954515132996
Matins,Dom. Resurrectionis,12.222222222222221,0.9049586776859504,0.2066115702479339,8,0.11235278758575154,0.2964748008048232,108.59504132231405,116,0.009611199851841563,0.08320690301087728
