network_1,network_2,edges_1_whole_day,edges_2_whole_day,shared_edges_whole_day,edge_overlap_0.0_whole_day,edge_overlap_0.2_whole_day,edge_overlap_0.3_whole_day,edge_overlap_0.4_whole_day,edge_overlap_0.5_whole_day,edge_overlap_0.6_whole_day,edge_overlap_0.7_whole_day,edge_overlap_0.8_whole_day,edges_1_L,edges_2_L,shared_edges_L,edge_overlap_0.0_L,edge_overlap_0.2_L,edge_overlap_0.3_L,edge_overlap_0.4_L,edge_overlap_0.5_L,edge_overlap_0.6_L,edge_overlap_0.7_L,edge_overlap_0.8_L,edges_1_V,edges_2_V,shared_edges_V,edge_overlap_0.0_V,edge_overlap_0.2_V,edge_overlap_0.3_V,edge_overlap_0.4_V,edge_overlap_0.5_V,edge_overlap_0.6_V,edge_overlap_0.7_V,edge_overlap_0.8_V,edges_1_V2,edges_2_V2,shared_edges_V2,edge_overlap_0.0_V2,edge_overlap_0.2_V2,edge_overlap_0.3_V2,edge_overlap_0.4_V2,edge_overlap_0.5_V2,edge_overlap_0.6_V2,edge_overlap_0.7_V2,edge_overlap_0.8_V2,edges_1_M,edges_2_M,shared_edges_M,edge_overlap_0.0_M,edge_overlap_0.2_M,edge_overlap_0.3_M,edge_overlap_0.4_M,edge_overlap_0.5_M,edge_overlap_0.6_M,edge_overlap_0.7_M,edge_overlap_0.8_M
Dom. 1 Quadragesimae,Dom. 2 Quadragesimae,2548,316,142,0.6900152159084947,0.6043363994743758,0.4791756426827517,0.3272541332878814,0.2187080911935628,0.11257871294731991,0.07652173913043478,0.05216752387950037,404,1124,129,0.8398020720581413,0.8083668543845535,0.8091656463179989,0.8038714390065741,0.6833024118738404,0.4296841194288187,0.21770334928229665,0.09220872051465333,44,139,3,0.30980106744298885,0.20106571936056838,0.1341209173036831,0.0958904109589041,0.0744047619047619,0.04421768707482993,0.01485148514851485,0.016666666666666666,35,247,14,0.26206563706563707,0.15464632454923716,0.1003562945368171,0.0964660936007641,0.08527131782945736,0.1044776119402985,0.06785714285714285,0.05223880597014925,25,109,16,0.7856690720344347,0.8062994778507664,0.6385448916408669,0.4345766725873298,0.3410616229408176,0.2762039660056657,0.2379182156133829,0.13559322033898305
Dom. 1 Quadragesimae,Dom. 3 Quadragesimae,2548,4047,1753,0.7994324516063647,0.7873199541975532,0.7507431821119297,0.6571531791907514,0.6117960088691796,0.581397945511389,0.47776686772338334,0.3620404791408509,404,511,65,0.8138180673591439,0.7759202971968929,0.8178466076696165,0.7633428300094967,0.5802197802197803,0.34545930384716045,0.16774791473586653,0.07647058823529412,44,50,1,0.29044117647058826,0.17567567567567569,0.1287820015515904,0.10053619302949061,0.06666666666666667,0.04477611940298507,0.03636363636363636,0.010752688172043012,35,370,6,0.41215323645970936,0.2034142822793941,0.12774363476733977,0.09455587392550144,0.07673469387755102,0.053061224489795916,0.033734939759036145,0.015037593984962405,25,79,11,0.7736044553814273,0.8275862068965517,0.6121867881548975,0.38166373755125954,0.25512104283054005,0.1870286576168929,0.17254901960784313,0.11827956989247312
Dom. 1 Quadragesimae,Dom. 4 Quadragesimae,2548,3326,1447,0.7600609306667977,0.7414444182204389,0.6911488936117015,0.5860627177700348,0.498708656169291,0.44939056703762587,0.3806337066375307,0.3268579173255026,404,1164,117,0.7680084745762712,0.7401473886574815,0.7641525866573767,0.7724528992134626,0.6822736030828517,0.46115058446023377,0.2390583554376658,0.08063404548587182,44,134,2,0.3989626556016598,0.23178629249865085,0.12976313079299692,0.1000862812769629,0.07771428571428571,0.04,0.015706806282722512,0.011363636363636364,35,132,9,0.1806282722513089,0.13753148614609573,0.13616557734204793,0.14181818181818182,0.14628297362110312,0.14027149321266968,0.08771929824561403,0.056962025316455694,25,128,16,0.7291404083690446,0.7937602627257799,0.5983742841307962,0.3377348908075165,0.2,0.14623655913978495,0.10440835266821345,0.11678832116788321
Dom. 1 Quadragesimae,Dom. Resurrectionis,2548,580,244,0.3567713004484305,0.37920408054832366,0.3185558148102665,0.25610887720383546,0.20785361842105263,0.1637759454080182,0.11288368336025849,0.08460471567267684,404,733,30,0.3260077564931249,0.26446173800259404,0.2547972875486943,0.21383942517963136,0.15254532775453278,0.08814445236398194,0.056678383128295255,0.02710027100271003,44,303,3,0.25126811594202897,0.17985794013191272,0.08695652173913043,0.058784676354029064,0.03335919317300233,0.014608233731739707,0.008086253369272238,0.00872093023255814,35,49,5,0.17054263565891473,0.07336726039016116,0.05400192864030858,0.047619047619047616,0.05475504322766571,0.07784431137724551,0.056074766355140186,0.06329113924050633,25,145,7,0.36309297912713473,0.2605042016806723,0.19418521177315148,0.1468354430379747,0.09225589225589226,0.05539358600583091,0.040372670807453416,0.04294478527607362
Dom. 1 Quadragesimae,Dom. in Palmis,2548,489,245,0.5142712721145746,0.6970785722699965,0.6174941512867169,0.5107522707864296,0.4346582200878717,0.2791885373811888,0.14288659793814432,0.08775071633237823,404,1167,133,0.7874942669316618,0.7627118644067796,0.7494344875587263,0.7403863845446182,0.6577655605733359,0.4529053420805998,0.21005199306759098,0.09248956884561892,44,95,5,0.36244956088298125,0.25289203084832906,0.18490783410138248,0.15702479338842976,0.1111111111111111,0.07780979827089338,0.044585987261146494,0.03731343283582089,35,137,3,0.2857142857142857,0.1647019198383294,0.1184931506849315,0.09568261376896149,0.10076335877862595,0.08921933085501858,0.04838709677419355,0.01775147928994083,25,127,8,0.541925047182529,0.6046273246448968,0.36908834775608773,0.29398148148148145,0.2528,0.236084452975048,0.15725806451612903,0.05555555555555555
Dom. 2 Quadragesimae,Dom. 3 Quadragesimae,316,4047,216,0.7203704672701585,0.6126524010947997,0.49641261675917153,0.32711063700091436,0.21933649289099527,0.10882981248516496,0.075655313137655,0.05208584518929347,1124,511,231,0.9328177863702272,0.8694392364070224,0.9063588052043248,0.8723566393598781,0.7259624876604146,0.4290657439446367,0.28485491861288037,0.16452991452991453,139,50,12,0.28566743194489996,0.17283393501805056,0.14705882352941177,0.11871508379888268,0.12146422628951747,0.06274509803921569,0.0663265306122449,0.06779661016949153,247,370,44,0.3465761629067678,0.24254245066544286,0.16402877697841728,0.13146067415730336,0.12806702573309395,0.09062003179650238,0.08089500860585198,0.07678883071553229,109,79,44,0.8576507589224669,0.9059371763893683,0.7794641184185872,0.5106870229007634,0.37281553398058254,0.3105076741440378,0.3020527859237537,0.3055555555555556
Dom. 2 Quadragesimae,Dom. 4 Quadragesimae,316,3326,195,0.6838500177583845,0.5689162051968599,0.46336935622886694,0.31537992065913945,0.2018957345971564,0.09863523573200993,0.07385129490392649,0.05657093124456049,1124,1164,417,0.848950410708853,0.8071884984025559,0.8401448525607863,0.8671775223499362,0.8004518072289156,0.5789585547290117,0.3935038804254096,0.22287546766435062,139,134,14,0.40939947780678854,0.2939666238767651,0.1927437641723356,0.1440291704649043,0.14142538975501115,0.064,0.05090909090909091,0.05405405405405406,247,132,60,0.26755725190839696,0.19480519480519481,0.14152202937249667,0.17386722866174922,0.17303370786516853,0.192090395480226,0.19937694704049844,0.18808777429467086,109,128,62,0.7705216599453623,0.8097432521395656,0.7366906474820144,0.5001156069364162,0.34147334147334146,0.24017857142857144,0.23705179282868527,0.35428571428571426
Dom. 2 Quadragesimae,Dom. Resurrectionis,316,580,39,0.29539738811623184,0.2750846193563192,0.19873518935814494,0.1422790202342918,0.10328879753340185,0.0675547098001903,0.05054566341183228,0.045507584597432905,1124,733,77,0.3624246638850255,0.3016845329249617,0.29158512720156554,0.25566294170945336,0.2033624312964759,0.13818181818181818,0.07326007326007326,0.04325842696629213,139,303,12,0.14680412371134022,0.14261931187569368,0.1031390134529148,0.06743088334457181,0.05680119581464873,0.03904282115869018,0.02850877192982456,0.027906976744186046,247,49,11,0.1255803156917363,0.07140255009107468,0.05452366686638706,0.03421309872922776,0.03670745272525028,0.05740181268882175,0.05405405405405406,0.03859649122807018,109,145,16,0.3545506365190956,0.26211871914947477,0.19749804534792806,0.14407179971658007,0.11632183908045977,0.09176225234619395,0.06904231625835189,0.06722689075630252
Dom. 2 Quadragesimae,Dom. in Palmis,316,489,91,0.43369369980004746,0.5207979626485568,0.3969824561403509,0.2604646957779586,0.19322219185569828,0.13340534701593304,0.10905840286054827,0.12745098039215685,1124,1167,228,0.8012735080704871,0.768596303650527,0.7576712555979432,0.7384428223844283,0.6561328334226031,0.45419923832431347,0.2400970088924818,0.11051866214251091,139,95,8,0.3407565588773642,0.2644628099173554,0.1701368233194527,0.12522686025408347,0.11467889908256881,0.055825242718446605,0.036,0.035398230088495575,247,137,21,0.27468757657436904,0.18723143032535297,0.12524461839530332,0.11067809820732658,0.11332179930795848,0.09198113207547169,0.06486486486486487,0.05785123966942149,109,127,26,0.5364095169430425,0.6242085112649094,0.38446533073239936,0.2680898253396174,0.2392894461859979,0.2240506329113924,0.21690140845070421,0.12380952380952381
Dom. 3 Quadragesimae,Dom. 4 Quadragesimae,4047,3326,2188,0.8926755887540201,0.8716664655484494,0.8417692952479205,0.7788301641240691,0.7100728675525075,0.6670894102726697,0.5724011521340665,0.4219864995178399,511,1164,263,0.8972624798711756,0.8480195428372012,0.872449917294615,0.8467432950191571,0.7100977198697068,0.491991991991992,0.3397887323943662,0.18626062322946177,50,134,3,0.34183023196533263,0.2270515731430425,0.17859327217125381,0.1227364185110664,0.12437185929648241,0.05226480836236934,0.015384615384615385,0.016574585635359115,370,132,38,0.1953677889770534,0.13869952805453592,0.09476534296028881,0.08654545454545455,0.08300704776820673,0.09230769230769231,0.0819327731092437,0.08189655172413793,79,128,46,0.8271040974529347,0.8747707186926796,0.7589026162790697,0.5483321158996834,0.3991031390134529,0.36363636363636365,0.30155210643015523,0.2857142857142857
