siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
A-KN CCl 1010,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
A-KN CCl 1011,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
A-KN CCl 1015,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
A-KN CCl 1017,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
B-TOb 63 (olim V),1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
B-TOb 64 (olim IV),1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
CH-SGs 390,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
D-KNd 1161,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
D-MZb A,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
D-Mbs Clm 4303,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
H-Bu lat. 118,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
I-BV V 19,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
I-VCd CLXX,1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),1073,79,7,3,2,0,0,0,0,0,0,0,29,9,1,1,1,0,0,0,0,0,0,0
