siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1011,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1015,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
A-Wda C-11,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
CH-SGs 390,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
D-MZb A,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
I-MC 542,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
I-BV V 19,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 9449,26,42,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),117,0,1,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,117,0,1,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,117,0,1,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
CZ-Bu R 387,117,0,1,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu XII C 3,117,0,1,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIII C 4,117,0,1,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),247,40,15,2,0,0,0,0,0,0,0,0,24,3,2,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1890,247,40,15,2,0,0,0,0,0,0,0,0,24,3,2,0,0,0,0,0,0,0,0,0
CZ-Pu VI G 11,247,40,15,2,0,0,0,0,0,0,0,0,24,3,2,0,0,0,0,0,0,0,0,0
CH-E 611,0,40,15,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
D-KA Aug. LX,0,40,15,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
D-Sl HB.I.55,0,40,15,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
A-SF XI 480,0,40,15,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
