siglum,level_0,level_1,level_2,level_3,level_4
A-Gu 29 (olim 38/8 f.),360,2,29,4,0
A-KN CCl 1010,360,2,29,4,0
A-KN CCl 1011,360,2,29,4,0
A-KN CCl 1015,360,2,29,4,0
A-KN CCl 1017,360,2,29,4,0
B-TOb 63 (olim V),360,2,29,4,0
B-TOb 64 (olim IV),360,2,29,4,0
I-VCd CLXX,360,2,29,4,0
A-Wda C-11,360,2,29,4,0
I-MC 542,360,2,29,4,0
DK-Kk Gl. Kgl. S. 3449 8o [14] XIV,360,2,29,4,0
A-Gu 30 (olim 38/9 f.),1934,3,20,4,0
CZ-Pu VI E 13,1934,3,20,4,0
CZ-Pu XII D 9,1934,3,20,4,0
DK-Kk Gl. Kgl. S. 3449 8o [13] XIII,1934,3,20,4,0
DK-Kk Gl. Kgl. S. 3449 8o [09] IX,1934,3,20,4,0
CZ-Bu R 387,1934,3,20,4,0
"D-TRb Abt. 95, Nr. 5",1934,3,20,4,0
CZ-Pu XXIII D 156,1934,3,20,4,0
A-LIb 290 (olim 183; olim Gamma p 19),2275,64,33,4,0
A-Wn Cod. 1890,2275,64,33,4,0
CZ-Pu VI G 11,2275,64,33,4,0
V-CVbav San Pietro B.79,2275,64,33,4,0
CH-E 611,2513,64,33,4,0
D-KA Aug. LX,2513,64,33,4,0
D-Sl HB.I.55,2513,64,33,4,0
A-SF XI 480,2513,64,33,4,0
A-Wn Cod. 1799**,2513,64,33,4,0
D-AAm G 20,2513,64,33,4,0
D-B Mus. 40047,2513,64,33,4,0
D-KNd 215,2513,64,33,4,0
E-Tc 44.2,2513,64,33,4,0
F-VAL 114,2513,64,33,4,0
GB-Ob MS. Canon. Liturg. 202,2513,64,33,4,0
GB-Ob MS. Laud Misc. 284,2513,64,33,4,0
TR-Itks Deissmann 42,2513,64,33,4,0
D-BAs Msc.Lit.25 (olim Ed.IV.11),2513,64,33,4,0
I-AO 6,2513,64,33,4,0
CZ-Pu XIV C 20,1779,3,20,4,0
SK-Sk 2,1779,3,20,4,0
SI-Lna 19 (olim 18),1779,3,20,4,0
SK-Bra BAI ECLad.3,1779,3,20,4,0
F-Pn Lat. 1030,1779,3,20,4,0
D-MZb D,1779,3,20,4,0
A-KN CCl 1012,1779,3,20,4,0
CZ-Pu XII C 3,1779,3,20,4,0
CZ-Pu XIII C 4,1779,3,20,4,0
SK-Bra BAIIa EC Lad.4,1779,3,20,4,0
DK-Kk Gl. Kgl. S. 3449 8o [08] VIII,1779,3,20,4,0
CZ-Pu VI.E.4c,1371,2,29,4,0
CZ-Pu XIV.B.13,1371,2,29,4,0
CDN-Hsmu M2149.L4 1554,1371,2,29,4,0
CH-SGs 390,1371,2,29,4,0
D-KNd 1161,1371,2,29,4,0
D-Mbs Clm 4303,1371,2,29,4,0
D-Sl Cod.Bibl.fol.065,1371,2,29,4,0
H-Bu lat. 118,1371,2,29,4,0
I-BV V 19,1371,2,29,4,0
PL-Kkar Ms.2 (rkp. Perg. 14),1371,2,29,4,0
PL-Kkar Ms.5 (rkp. Perg. 13),1371,2,29,4,0
GB-Lbl Add MS 30847,1371,2,29,4,0
HR-Hf Cod. D Nr. 5,1371,2,29,4,0
F-Pn Lat. 17436,1379,55,23,4,0
F-Collection privée Mont-Renaud,1379,55,23,4,0
F-Pn Lat. 12584,1379,55,23,4,0
CH-SGs Cod 340,1379,55,23,4,0
A-KN CCl 1013,1164,59,29,4,0
F-Pn Latin 15181,1164,59,29,4,0
A-KR Schachtel VI/258,1012,64,33,4,0
A-Wda D-4,1012,64,33,4,0
F-CA 38 (olim 40),1012,64,33,4,0
I-PCd cod. 65,1012,64,33,4,0
Cantus MA Impr. 1537,1012,64,33,4,0
NL-Uu Ms. 406 (shelfmark 3 J 7),1012,64,33,4,0
PL-KIk Ms. 1,1012,64,33,4,0
PL-Klk 1,1012,64,33,4,0
PL-WRu Ms. R 503,1012,64,33,4,0
A-VOR 287 (olim XXIX),1012,64,33,4,0
GB-Cu Mm.ii.9,1012,64,33,4,0
AUS-Sfl Add. Ms. 413 (olim Add. Ms. Fol.1),700,59,29,4,0
I-CHV s.c.,700,59,29,4,0
Cantus GOTTSCHALK,700,59,29,4,0
E-Bbc M 706,700,59,29,4,0
CH-Fco Ms. 2,677,64,33,4,0
D-Ma 12o Cmm 1,677,64,33,4,0
I-Ac 693,677,64,33,4,0
I-Ac 694,677,64,33,4,0
I-Ad 5,677,64,33,4,0
I-Nn vi. E. 20,677,64,33,4,0
US-Cn 24,677,64,33,4,0
V-CVbav lat. 8737,677,64,33,4,0
CH-SGs 388,925,64,33,4,0
E-Tc 44.1,925,64,33,4,0
F-AI 44,925,64,33,4,0
F-Pn Latin 1085,925,64,33,4,0
F-Pn Latin 1090,925,64,33,4,0
F-Pn Latin 12044,925,64,33,4,0
F-Pn Latin 1240,925,64,33,4,0
F-Pn Lat. 17296,925,64,33,4,0
F-Pn NAL 1535,925,64,33,4,0
I-Far s.c.,925,64,33,4,0
I-Fl Conv. sopp. 560,925,64,33,4,0
I-MZ 15/79,925,64,33,4,0
I-Rv C.5,925,64,33,4,0
CZ-Pn XII A 24,2621,40,30,4,0
D-MZb A,2621,40,30,4,0
DK-Kk Gl. Kgl. S. 3449 8o [01] I,2621,40,30,4,0
E-Bbc Ms. 2545,2621,40,30,4,0
F-Pn Lat. 17991,2621,40,30,4,0
HR-Hf Cod. C Nr. 4,2621,40,30,4,0
PL-GD Mar. F 408,2621,40,30,4,0
PL-STAb ms. 1,2621,40,30,4,0
V-CVbav Cappella Sistina 27,2621,40,30,4,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,2621,40,30,4,0
CZ-Pn XV A 10,494,40,30,4,0
E-H Ms. 2,494,40,30,4,0
CZ-Pu Pu XIV A 19,494,40,30,4,0
CZ-Pst DE I 7,717,12,30,4,0
F-Pn NAL 1411,717,12,30,4,0
E-Bbc M 663,717,12,30,4,0
PL-PŁsem MsEPl 12,717,2742,12,48,20
SK-Bra BAIII ECLad.6,717,12,30,4,0
D-B Theol. Lat. Qu. 149,2543,59,29,4,0
F-Pn NAL 1236,2543,59,29,4,0
SI-Lna 18 (olim 17),2543,59,29,4,0
SK-BRsa SNA 2,2543,59,29,4,0
SK-BRsa SNA 4,2543,59,29,4,0
D-Mbs Clm 4306,1252,64,33,4,0
E-Bbc M 888,1252,64,33,4,0
E-Bbc Ms. 619,1252,64,33,4,0
"E-Gs ms. 45 (olim Sant Feliu, 20)",1252,64,33,4,0
GB-Lbl Add MS 30848,1252,64,33,4,0
GB-Lbl Add MS 30850,1252,64,33,4,0
I-Lc 601,1252,64,33,4,0
PL-WRu I F 401,1252,64,33,4,0
PL-Wn  rps 12720 V,1252,64,33,4,0
GB-Lbl Add MS 30849,1252,64,33,4,0
