siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
A-Gu 29 (olim 38/8 f.),18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1011,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1015,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
CH-SGs 390,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
D-KNd 1161,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
I-BV V 19,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
I-VCd CLXX,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
A-Wda C-11,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
I-MC 542,18,53,12,2,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),848,25,2,2,2,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,848,25,2,2,2,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0
CZ-Bu R 387,848,25,2,2,2,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),2467,53,12,2,2,0,0,0,0,0,0,0,0,42,9,2,0,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1890,2467,53,12,2,2,0,0,0,0,0,0,0,0,42,9,2,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI G 11,2467,53,12,2,2,0,0,0,0,0,0,0,0,42,9,2,0,0,0,0,0,0,0,0,0,0
CH-E 611,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
D-KA Aug. LX,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
D-Sl HB.I.55,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
CH-SGs 388,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
D-AAm G 20,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
D-B Mus. 40047,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
D-KNd 215,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4306,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
GB-Ob MS. Canon. Liturg. 202,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
