siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
A-Gu 29 (olim 38/8 f.),618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1011,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1015,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
CH-SGs 390,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
D-KNd 1161,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
D-Sl Cod.Bibl.fol.065,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
I-BV V 19,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
I-VCd CLXX,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
A-Wda C-11,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
E-SAu Ms. 2668,618,92,1,2,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),1606,23,1,2,0,0,0,0,0,0,0,0,0,34,3,0,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,1606,23,1,2,0,0,0,0,0,0,0,0,0,34,3,0,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [09] IX,1606,23,1,2,0,0,0,0,0,0,0,0,0,34,3,0,1,0,0,0,0,0,0,0,0,0
CZ-Bu R 387,1606,23,1,2,0,0,0,0,0,0,0,0,0,34,3,0,1,0,0,0,0,0,0,0,0,0
"D-TRb Abt. 95, Nr. 5",1606,23,1,2,0,0,0,0,0,0,0,0,0,34,3,0,1,0,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),478,86,1,2,0,0,0,0,0,0,0,0,0,14,13,0,1,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1890,478,86,1,2,0,0,0,0,0,0,0,0,0,14,13,0,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI G 11,478,86,1,2,0,0,0,0,0,0,0,0,0,14,13,0,1,0,0,0,0,0,0,0,0,0
V-CVbav San Pietro B.79,478,86,1,2,0,0,0,0,0,0,0,0,0,14,13,0,1,0,0,0,0,0,0,0,0,0
CH-E 611,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
D-KA Aug. LX,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
D-Sl HB.I.55,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
A-SF XI 480,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1799**,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
CH-SGs 388,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
D-AAm G 20,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
D-B Mus. 40047,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
D-KNd 215,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
E-Tc 44.1,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
E-Tc 44.2,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
F-Pn Latin 12044,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
F-VAL 114,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
GB-Ob MS. Canon. Liturg. 202,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
GB-Ob MS. Laud Misc. 284,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
I-Rv C.5,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
PL-WRu I F 401,2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
D-BAs Msc.Lit.25 (olim Ed.IV.11),2547,85,1,2,0,0,0,0,0,0,0,0,0,50,12,0,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,13,23,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
SK-Sk 2,13,23,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
SK-Bra BAI ECLad.3,13,23,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1030,13,23,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1012,13,23,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
CZ-Pu XII C 3,13,23,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIII C 4,13,23,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
SK-Bra BAIIa EC Lad.4,13,23,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [08] VIII,13,23,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17436,1747,73,14,2,0,0,0,0,0,0,0,0,0,38,8,2,1,0,0,0,0,0,0,0,0,0
CH-Cobodmer C 0074,1747,73,14,2,0,0,0,0,0,0,0,0,0,38,8,2,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1013,162,92,1,2,0,0,0,0,0,0,0,0,0,3,16,0,1,0,0,0,0,0,0,0,0,0
AUS-Sfl Add. Ms. 413 (olim Add. Ms. Fol.1),162,92,1,2,0,0,0,0,0,0,0,0,0,3,16,0,1,0,0,0,0,0,0,0,0,0
CZ-Pn XV A 10,162,92,1,2,0,0,0,0,0,0,0,0,0,3,16,0,1,0,0,0,0,0,0,0,0,0
D-B Theol. Lat. Qu. 149,162,92,1,2,0,0,0,0,0,0,0,0,0,3,16,0,1,0,0,0,0,0,0,0,0,0
