siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1010,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1011,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1015,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1017,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
A-Wda C-11,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
CH-SGs 390,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
I-MC 542,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
I-BV V 19,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
F-Pn Lat. 9449,134,5,8,2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),583,14,8,2,0,0,0,0,0,0,0,0,21,3,1,1,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,583,14,8,2,0,0,0,0,0,0,0,0,21,3,1,1,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,583,14,8,2,0,0,0,0,0,0,0,0,21,3,1,1,0,0,0,0,0,0,0,0
CZ-Bu R 387,583,14,8,2,0,0,0,0,0,0,0,0,21,3,1,1,0,0,0,0,0,0,0,0
CZ-Pu XII C 3,583,14,8,2,0,0,0,0,0,0,0,0,21,3,1,1,0,0,0,0,0,0,0,0
CZ-Pu XIII C 4,583,14,8,2,0,0,0,0,0,0,0,0,21,3,1,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [12] XII,583,14,8,2,0,0,0,0,0,0,0,0,21,3,1,1,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),1036,5,8,2,0,0,0,0,0,0,0,0,34,1,1,1,0,0,0,0,0,0,0,0
A-Wn Cod. 1890,1036,5,8,2,0,0,0,0,0,0,0,0,34,1,1,1,0,0,0,0,0,0,0,0
CH-E 611,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
D-KA Aug. LX,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
D-Sl HB.I.55,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
A-SF XI 480,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
CH-SGs 388,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
D-B Mus. 40047,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
D-KNd 215,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
E-Tc 44.1,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
E-Tc 44.2,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
F-Pn Latin 12044,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
F-Pn Lat. 17296,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
GB-Ob MS. Laud Misc. 284,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
I-PCd cod. 65,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
I-Rv C.5,1172,11,8,2,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0,0,0,0,0,0
