siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
CH-SGs 390,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
D-KNd 1161,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
I-BV V 19,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
I-VCd CLXX,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
A-Wda C-11,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
I-MC 542,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
F-LA Ms 240,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
NL-Uu Hs. 0062,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [14] XIV,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
D-Kl Theol. quart 0015,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
F-Pn Lat. 9449,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
GB-Lbl Additional 18031,320,55,16,2,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0
