siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
A-KN CCl 1010,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
A-KN CCl 1011,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
A-KN CCl 1015,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
A-KN CCl 1017,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
A-Wda C-11,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
B-TOb 63 (olim V),949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
B-TOb 64 (olim IV),949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
CH-SGs 390,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
D-KNd 1161,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
D-MZb A,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
D-Mbs Clm 4303,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
H-Bu lat. 118,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
I-MC 542,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
I-VCd CLXX,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
I-BV V 19,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
E-SA 5,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [14] XIV,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
F-Pn Lat. 9449,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
GB-Lbl Additional 18031,949,36,6,0,1,2,0,0,0,0,0,0,16,6,2,0,1,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),860,33,6,0,1,2,0,0,0,0,0,0,13,5,2,0,1,0,0,0,0,0,0,0
CZ-Pu XIV C 20,860,33,6,0,1,2,0,0,0,0,0,0,13,5,2,0,1,0,0,0,0,0,0,0
CZ-Pu VI E 13,860,33,6,0,1,2,0,0,0,0,0,0,13,5,2,0,1,0,0,0,0,0,0,0
SK-Sk 2,860,33,6,0,1,2,0,0,0,0,0,0,13,5,2,0,1,0,0,0,0,0,0,0
