siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
A-Gu 29 (olim 38/8 f.),969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1011,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1013,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1015,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
CH-SGs 390,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
CZ-Pn XII A 24,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
CZ-Pn XV A 10,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
D-B Theol. Lat. Qu. 149,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
D-KNd 1161,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
D-MZb A,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
D-W Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32),969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
"E-BAR, s.s.",969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
E-Bbc M 705,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
E-H Ms. 2,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
E-H Ms. 7 (ant. 5),969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
E-VI Mss. 113-114,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 15181,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
F-Pn NAL 1236,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
F-TOm 149,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
I-BV V 19,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
I-CHV s.c.,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
I-VCd CLXX,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
PL-GD Mar. F 408,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
SI-Lna 18 (olim 17),969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
SK-BRsa SNA 2,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
A-Wda C-11,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu Pu XIV A 19,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
I-MC 542,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
SK-BRsa SNA 4,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
CDN-Ttfl MSS 09700,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
D-MZb B,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
Cantus GOTTSCHALK,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
PL-STAb ms. 2,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
E-Tc 35.5,969,21,6,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1018,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 589,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
A-Wda C-10,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
D-FUl Aa 55,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
I-BV V 20,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
NL-ZUa 6,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
SK-Sk 2,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
D-W Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31),1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
B-Gu Hs BKT.006,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
SI-Lna 19 (olim 18),1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 15182,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
US-NYcubl MS 1,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.3 (rkp. Perg. 15),1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
SK-Bra BAI ECLad.3,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1030,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
CH-SGs 391,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
E-H Ms. 8 (ant. 6),1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
H-Bu lat. 119,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. F Nr. 6,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
PL-WRzno Rkp. 12025/IV,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
US-Cai 1911.142b,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
CZ-R R 17,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
D-MZb D,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 12601,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1012,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
CZ-Bu R 387,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu XII C 3,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIII C 4,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
NZ-Wt MSR-03,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
D-MZb C,1552,5,6,0,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),2388,21,6,0,3,0,0,0,0,0,0,0,0,11,4,1,0,0,0,0,0,0,0,0,0,0
