siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1011,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1015,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
A-Wda C-11,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
CH-SGs 390,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
D-KNd 1161,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
D-MZb A,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
I-MC 542,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
I-VCd CLXX,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
I-BV V 19,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 9449,108,25,4,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1018,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
A-KN CCl 589,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
A-Wda C-10,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
D-FUl Aa 55,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
I-BV V 20,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
NL-ZUa 6,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
SK-Sk 2,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
B-Gu Hs BKT.006,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
SI-Lna 19 (olim 18),3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
F-Pn Latin 15182,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1030,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
CH-SGs 391,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
E-H Ms. 8 (ant. 6),3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
H-Bu lat. 119,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
HR-Hf Cod. F Nr. 6,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.3 (rkp. Perg. 15),3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
PL-WRzno Rkp. 12025/IV,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
US-Cai 1911.142b,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
CZ-R R 17,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
SK-Bra BAI ECLad.3,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
F-Pn Latin 12601,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1012,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
CZ-Bu R 387,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu XII C 3,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIII C 4,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
NZ-Wt MSR-03,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
D-MZb C,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
SK-BRl Rkp. 387,3,25,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),139,6,4,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1890,139,6,4,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
CH-E 611,139,6,4,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
D-KA Aug. LX,139,6,4,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
D-Sl HB.I.55,139,6,4,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
F-CA 38 (olim 40),139,6,4,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
GB-WO F. 160 (olim 1247) (with hymnal),139,6,4,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
