network_1,network_2,edges_1,edges_2,shared_edges,edge_overlap_0.0,edge_overlap_0.2,edge_overlap_0.3,edge_overlap_0.4,edge_overlap_0.5,edge_overlap_0.6,edge_overlap_0.7,edge_overlap_0.8,num_partitions_1,num_partitions_2,n_shared_nodes,adjusted_rand_index,normalized_mutual_info
Dom. 1 Adventus,Dom. 2 Adventus,1420,2248,970,0.8869710826302569,0.857683811928053,0.7765124555160142,0.7106373997467286,0.6836382922301777,0.6115869017632242,0.5429980699120738,0.35952557449962935,9,8,245,0.7545725929634864,0.7087089014989928
Dom. 1 Adventus,Dom. 3 Adventus,1420,1324,621,0.8267236119585113,0.7907740538926625,0.732352440891308,0.6626542281071321,0.6283606352382143,0.5595632031767042,0.44233843343229046,0.2925105982100801,9,8,247,0.7187507916614666,0.6795527535230895
Dom. 1 Adventus,Dom. 4 Adventus,1420,343,156,0.6689624527882693,0.6143563322425677,0.49584442830630193,0.3527246702791126,0.25353690993136296,0.16748166259168704,0.11004243281471005,0.0970752955818295,9,7,234,0.5915219268457695,0.6097964371415199
Dom. 1 Adventus,Nativitas Domini,1420,1351,509,0.5046132008516678,0.5538582060321191,0.5051033591731267,0.4403844560444113,0.40671049648605756,0.3673731535003211,0.2944127708095781,0.22502210433244915,10,12,246,0.4660396980552826,0.5247201255964441
Dom. 1 Adventus,Vigilia Nat. Domini,1420,1646,652,0.6441630014307668,0.634628885059672,0.563111723337925,0.4840518752190677,0.4728769595128003,0.4262416604892513,0.3312418866291649,0.27009113504556753,8,7,230,0.7644071269187989,0.6392274162090392
Dom. 2 Adventus,Dom. 3 Adventus,2248,1324,842,0.8739731261542381,0.8323203160613889,0.788813969571231,0.7558428128231645,0.7349980889285259,0.6332483264265222,0.4716467880309688,0.30842490842490844,9,8,247,0.7481157756531737,0.7134948718580046
Dom. 2 Adventus,Dom. 4 Adventus,2248,343,193,0.7121739130434782,0.6535215263493864,0.5168476075593084,0.37657748611812214,0.2719882729211087,0.15742049469964664,0.10211351222987414,0.0804837364470392,10,7,237,0.6461902263888875,0.6800145172052703
Dom. 2 Adventus,Nativitas Domini,2248,1351,709,0.5026261099565463,0.5517049563330922,0.4992067017833344,0.45196310505264875,0.42813220599538815,0.3917126248323148,0.3081645181092695,0.2453287197231834,8,12,241,0.46075645960955797,0.5312580509414286
Dom. 2 Adventus,Vigilia Nat. Domini,2248,1646,817,0.6617110493928008,0.6445594530700913,0.5755219582433405,0.5223880597014925,0.5132978723404256,0.4625297660736798,0.34917517674783977,0.265518362040949,7,7,229,0.8054891230905171,0.7028723583212201
Dom. 3 Adventus,Dom. 4 Adventus,1324,343,192,0.7680904669830667,0.693590931774435,0.5597570850202429,0.3869625520110957,0.26509421868991156,0.1721477126584604,0.12198031613480466,0.13016949152542373,8,7,245,0.7923717448377008,0.7428552194515323
Dom. 3 Adventus,Nativitas Domini,1324,1351,464,0.5266737192081004,0.5902356902356902,0.543859649122807,0.4866104332159528,0.4442036836403034,0.3906842664239114,0.3204022988505747,0.20985979194934418,8,11,252,0.6215177825649743,0.6001536052556669
Dom. 3 Adventus,Vigilia Nat. Domini,1324,1646,594,0.7060015332384185,0.6715827108472195,0.6176684088269454,0.5485874223738302,0.5327266747067207,0.47409214870101907,0.3560434585785423,0.25,8,7,237,0.8305562184609769,0.7298829545643603
Dom. 4 Adventus,Nativitas Domini,343,1351,161,0.5237880326450788,0.5604420515726835,0.45824298574150735,0.30752251456825,0.21562705187130662,0.132739697659971,0.11460192788289897,0.1050228310502283,7,12,252,0.3852939957947417,0.5199242862968463
Dom. 4 Adventus,Vigilia Nat. Domini,343,1646,182,0.6804450655772952,0.6304529392868615,0.5056312108943688,0.33715083798882683,0.23359482007222016,0.14032957502168256,0.11666149550108594,0.10071942446043165,6,7,236,0.7604374989172945,0.6976500145593453
Nativitas Domini,Vigilia Nat. Domini,1351,1646,750,0.593999692685925,0.7208500861573808,0.6472855556281439,0.597411561691113,0.5933253873659118,0.5217037880019509,0.4318972437784319,0.33377837116154874,12,7,257,0.5062545660513315,0.5430316849034663
