network_1,network_2,edges_1,edges_2,shared_edges,edge_overlap_0.0,edge_overlap_0.2,edge_overlap_0.3,edge_overlap_0.4,edge_overlap_0.5,edge_overlap_0.6,edge_overlap_0.7,edge_overlap_0.8,num_partitions_1,num_partitions_2,n_shared_nodes,adjusted_rand_index,normalized_mutual_info
Dom. 1 Quadragesimae,Dom. 2 Quadragesimae,2525,300,140,0.7066885322712897,0.619734399543053,0.4994967871796857,0.3414858403824936,0.22759856630824374,0.11606284065405578,0.0782198246797033,0.0521415270018622,6,13,234,0.31955976280496734,0.5379545161745378
Dom. 1 Quadragesimae,Dom. 3 Quadragesimae,2525,3772,1747,0.8148420279206466,0.8012892192330461,0.7740005630630631,0.681468091795033,0.6410305895976068,0.6027592768791628,0.4974016332590943,0.38395604395604394,9,28,241,0.18165099366104456,0.49802625302662046
Dom. 1 Quadragesimae,Dom. 4 Quadragesimae,2525,2966,1434,0.7912435491926086,0.7705613577023499,0.7277309763844773,0.6180422264875239,0.532393327803889,0.48118466898954704,0.4072803222437714,0.3534631501109194,9,7,238,0.8005442421323942,0.7708711579715828
Dom. 1 Quadragesimae,Dom. in Palmis,2525,429,243,0.5577569502115711,0.7445751633986928,0.6556924384027187,0.5427512425237975,0.46035580935646825,0.28946583109519547,0.14715359828141783,0.08963482109922538,8,13,236,0.35979575505793,0.5227864402692037
Dom. 1 Quadragesimae,Dom. Resurrectionis,2525,503,244,0.396371537957438,0.41059679767103346,0.34119444628977613,0.2760268231349539,0.22277666888445333,0.17325913671228757,0.11805702217529039,0.08764367816091954,8,12,220,0.22363334633543464,0.4334842855155746
Dom. 2 Quadragesimae,Dom. 3 Quadragesimae,300,3772,210,0.738769390461911,0.621521210483653,0.5076855511638121,0.3301979388189105,0.2215868477483917,0.10922882427307207,0.07730839873100685,0.05437597099948213,15,9,242,0.2913767763237046,0.5437012662652674
Dom. 2 Quadragesimae,Dom. 4 Quadragesimae,300,2966,185,0.7175710887051093,0.5912746280659429,0.48454657843065957,0.3240594634997093,0.20601707266291902,0.09956296093963397,0.07447202667654687,0.06004543979227524,12,8,241,0.3665808958992775,0.5827646155526182
Dom. 2 Quadragesimae,Dom. in Palmis,300,429,90,0.4836702338485929,0.5601659751037344,0.4244102252901464,0.2757185715668247,0.20230119429070784,0.1400462962962963,0.11641595814257685,0.14084507042253522,14,9,235,0.2957526779085799,0.42666431744205346
Dom. 2 Quadragesimae,Dom. Resurrectionis,300,503,39,0.3344994804295116,0.2982314111346369,0.2127013775391081,0.15246687985381452,0.1118543292456336,0.07380457380457381,0.055944055944055944,0.051047120418848166,14,12,217,0.1257134050926557,0.37338680560850557
Dom. 3 Quadragesimae,Dom. 4 Quadragesimae,3772,2966,2035,0.9113560684349523,0.8878343399482312,0.8631556533465824,0.7932991722506898,0.7232100856148274,0.6898712147580925,0.5919597989949749,0.43270253029980865,10,8,251,0.7944815908837826,0.8010450797557035
Dom. 3 Quadragesimae,Dom. in Palmis,3772,429,329,0.6152154793315743,0.8078611075254938,0.7363148984198645,0.6236393176279448,0.5214213197969543,0.320783322804801,0.1638935108153078,0.08496900826446281,29,11,248,0.2532078920512275,0.44690370621281683
Dom. 3 Quadragesimae,Dom. Resurrectionis,3772,503,360,0.43687673130193905,0.47069660333909036,0.3957640925382861,0.3236192714453584,0.27392044885282035,0.201625,0.1371297659957454,0.09195402298850575,12,11,229,0.2926083953543324,0.4722492636593198
Dom. 4 Quadragesimae,Dom. in Palmis,2966,429,291,0.617614225340882,0.7774290655223212,0.6919454255834891,0.5614926558157999,0.4533877226146652,0.2830959915611814,0.14992748368382885,0.09375,7,11,247,0.42171137641167517,0.5287498380556083
Dom. 4 Quadragesimae,Dom. Resurrectionis,2966,503,362,0.42724532438172225,0.46254844120539074,0.39321566826323734,0.3251259093452714,0.2681949013157895,0.20837297811607994,0.1469945355191257,0.11651110395880271,7,12,227,0.3001665448724512,0.4511982869545933
Dom. in Palmis,Dom. Resurrectionis,429,503,88,0.494286677082376,0.4686798250797778,0.39567013245976357,0.3406113537117904,0.2772263187748156,0.22131357015077946,0.15332286760858188,0.10426540284360189,13,12,232,0.20104780921191207,0.4154763975613114
