network_1,network_2,edges_1_whole_day,edges_2_whole_day,shared_edges_whole_day,edge_overlap_0.0_whole_day,edge_overlap_0.2_whole_day,edge_overlap_0.3_whole_day,edge_overlap_0.4_whole_day,edge_overlap_0.5_whole_day,edge_overlap_0.6_whole_day,edge_overlap_0.7_whole_day,edge_overlap_0.8_whole_day,edges_1_L,edges_2_L,shared_edges_L,edge_overlap_0.0_L,edge_overlap_0.2_L,edge_overlap_0.3_L,edge_overlap_0.4_L,edge_overlap_0.5_L,edge_overlap_0.6_L,edge_overlap_0.7_L,edge_overlap_0.8_L,edges_1_V,edges_2_V,shared_edges_V,edge_overlap_0.0_V,edge_overlap_0.2_V,edge_overlap_0.3_V,edge_overlap_0.4_V,edge_overlap_0.5_V,edge_overlap_0.6_V,edge_overlap_0.7_V,edge_overlap_0.8_V,edges_1_V2,edges_2_V2,shared_edges_V2,edge_overlap_0.0_V2,edge_overlap_0.2_V2,edge_overlap_0.3_V2,edge_overlap_0.4_V2,edge_overlap_0.5_V2,edge_overlap_0.6_V2,edge_overlap_0.7_V2,edge_overlap_0.8_V2,edges_1_M,edges_2_M,shared_edges_M,edge_overlap_0.0_M,edge_overlap_0.2_M,edge_overlap_0.3_M,edge_overlap_0.4_M,edge_overlap_0.5_M,edge_overlap_0.6_M,edge_overlap_0.7_M,edge_overlap_0.8_M
Dom. 1 Quadragesimae,Dom. 2 Quadragesimae,2525,300,140,0.7066885322712897,0.619734399543053,0.4994967871796857,0.3414858403824936,0.22759856630824374,0.11606284065405578,0.0782198246797033,0.0521415270018622,516,814,195,0.838084737753977,0.7949479940564635,0.8047451669595782,0.7938367273382592,0.7117799113737076,0.48776223776223776,0.2726036709721278,0.17180616740088106,100,76,21,0.37921760391198045,0.2303839732888147,0.16973757677275264,0.15784908933217692,0.1308641975308642,0.16195372750642673,0.21808510638297873,0.13548387096774195,91,267,48,0.30916314874596473,0.2148859543817527,0.1601143674052895,0.1707891637220259,0.17681159420289855,0.19955156950672645,0.1907356948228883,0.15483870967741936,196,185,102,0.8353067814854682,0.856272219400711,0.7756550218340611,0.5939796160227542,0.4684898929845422,0.4075907590759076,0.34856175972927245,0.3655913978494624
Dom. 1 Quadragesimae,Dom. 3 Quadragesimae,2525,3772,1747,0.8148420279206466,0.8012892192330461,0.7740005630630631,0.681468091795033,0.6410305895976068,0.6027592768791628,0.4974016332590943,0.38395604395604394,516,644,143,0.8181087166291412,0.7891180038121642,0.8167577413479052,0.7750140265569478,0.6479502622887119,0.42206828302820387,0.2428628870124648,0.14060963618485742,100,80,18,0.3182154301207789,0.17624113475177305,0.1287833827893175,0.13070725156669652,0.13037974683544304,0.15503875968992248,0.18556701030927836,0.1111111111111111,91,581,44,0.5013160558817574,0.23543307086614174,0.19056261343012704,0.1883445945945946,0.17457114026236126,0.13324873096446702,0.09985528219971057,0.07006369426751592,196,267,90,0.8352587434720684,0.8813385692333959,0.794044665012407,0.5210727969348659,0.3752066115702479,0.28199566160520606,0.26300148588410105,0.24128686327077747
Dom. 1 Quadragesimae,Dom. 4 Quadragesimae,2525,2966,1434,0.7912435491926086,0.7705613577023499,0.7277309763844773,0.6180422264875239,0.532393327803889,0.48118466898954704,0.4072803222437714,0.3534631501109194,516,720,158,0.7939517392666876,0.7660352276503822,0.7855379188712522,0.7703488372093024,0.6851361573373677,0.47750229568411384,0.2462556600487635,0.14656771799628943,100,152,33,0.46853932584269664,0.3039488320355951,0.24653979238754326,0.21766169154228857,0.1826677994902294,0.17845117845117844,0.17712177121771217,0.1506849315068493,91,128,30,0.2103163294385865,0.17270896273917422,0.1724137931034483,0.19315068493150686,0.21428571428571427,0.21070234113712374,0.2345132743362832,0.15873015873015872,196,346,84,0.8412199339726458,0.8729536152796725,0.7874326750448833,0.5388634879163945,0.33635774465327284,0.2318075117370892,0.15285252960172227,0.18340611353711792
Dom. 1 Quadragesimae,Dom. Resurrectionis,2525,503,244,0.396371537957438,0.41059679767103346,0.34119444628977613,0.2760268231349539,0.22277666888445333,0.17325913671228757,0.11805702217529039,0.08764367816091954,516,904,53,0.342974180734856,0.27366283006093434,0.2565261776287006,0.22001873828856963,0.16998130205677375,0.11759675005345306,0.060826319816373375,0.038771031455742504,100,706,17,0.27539625360230546,0.2132066276803119,0.15828804347826086,0.09481915933528837,0.07950028392958547,0.04818181818181818,0.03780487804878049,0.021546261089987327,91,58,16,0.19116092197081835,0.08021390374331551,0.07982456140350877,0.07919254658385093,0.08083140877598152,0.12658227848101267,0.15151515151515152,0.12030075187969924,196,216,37,0.3717876146269671,0.2958854636914743,0.23045330088226346,0.19191460367930957,0.14630225080385853,0.0989456609894566,0.07363770250368189,0.09866666666666667
Dom. 1 Quadragesimae,Dom. in Palmis,2525,429,243,0.5577569502115711,0.7445751633986928,0.6556924384027187,0.5427512425237975,0.46035580935646825,0.28946583109519547,0.14715359828141783,0.08963482109922538,516,490,118,0.8232461069192487,0.7760598503740649,0.7815742397137746,0.7605528576765036,0.686053412462908,0.48223350253807107,0.23192414065586725,0.13288288288288289,100,111,27,0.4389604196471149,0.2472981563890655,0.2173027989821883,0.20353356890459365,0.17818889970788704,0.1872852233676976,0.13803680981595093,0.14673913043478262,91,268,51,0.36283396946564883,0.17765495459928937,0.1574468085106383,0.18171021377672208,0.2098950524737631,0.24574209245742093,0.19020172910662825,0.16558441558441558,196,140,89,0.8078641644325291,0.7726298433635614,0.5198101150264743,0.38403148720832164,0.36683141131246566,0.2665903890160183,0.31026785714285715,0.3603238866396761
Dom. 2 Quadragesimae,Dom. 3 Quadragesimae,300,3772,210,0.738769390461911,0.621521210483653,0.5076855511638121,0.3301979388189105,0.2215868477483917,0.10922882427307207,0.07730839873100685,0.05437597099948213,814,644,296,0.9316505490903131,0.8689008508421601,0.906058921623124,0.8827678231033168,0.7720837487537388,0.48273254348374084,0.3959755659360402,0.2547332185886403,76,80,41,0.41457003379647017,0.2513721185510428,0.208498023715415,0.21639344262295082,0.21505376344086022,0.24537037037037038,0.33587786259541985,0.3565217391304348,267,581,115,0.3380193033990768,0.21969501163091237,0.16991764195925443,0.16708023159636062,0.1556350626118068,0.16299559471365638,0.16140776699029127,0.15688949522510232,185,267,110,0.9184952978056427,0.9293829750043698,0.8713547434477668,0.6712240974150823,0.48641898220418356,0.41683638832315,0.32215743440233235,0.3216374269005848
Dom. 2 Quadragesimae,Dom. 4 Quadragesimae,300,2966,185,0.7175710887051093,0.5912746280659429,0.48454657843065957,0.3240594634997093,0.20601707266291902,0.09956296093963397,0.07447202667654687,0.06004543979227524,814,720,305,0.8788785635533155,0.8348532581661416,0.8664163090128756,0.8522581824830865,0.7550866616428034,0.4777327935222672,0.41442898738272405,0.2481692432872254,76,152,39,0.502578101304216,0.37035647279549716,0.2653647329121195,0.20150501672240803,0.19148936170212766,0.1574279379157428,0.19457013574660634,0.20634920634920634,267,128,85,0.3071283095723014,0.19560776302349336,0.18728813559322033,0.22549019607843138,0.23089430894308943,0.2620192307692308,0.2693333333333333,0.27419354838709675,185,346,117,0.8440640703517588,0.868546195652174,0.8162447641595337,0.6581031898950974,0.4511670761670762,0.31570338058887676,0.2168284789644013,0.2826086956521739
Dom. 2 Quadragesimae,Dom. Resurrectionis,300,503,39,0.3344994804295116,0.2982314111346369,0.2127013775391081,0.15246687985381452,0.1118543292456336,0.07380457380457381,0.055944055944055944,0.051047120418848166,814,904,71,0.3816336512594766,0.3128834355828221,0.3017932643242455,0.2575153374233129,0.2054250744293748,0.144534585824082,0.10126582278481013,0.04310868245294475,76,706,34,0.15984816533108392,0.12052302444570778,0.07859399684044234,0.058497536945812806,0.046573519627411845,0.039445628997867806,0.045992115637319315,0.045454545454545456,267,58,29,0.12871530336526651,0.08122503328894808,0.059205190592051905,0.06717557251908397,0.06810035842293907,0.09137055837563451,0.09631728045325778,0.09797297297297297,185,216,34,0.35625767556101373,0.2900166602588748,0.22929936305732485,0.17840095465393796,0.1506164611796068,0.1104457751164338,0.07523939808481532,0.09264305177111716
Dom. 2 Quadragesimae,Dom. in Palmis,300,429,90,0.4836702338485929,0.5601659751037344,0.4244102252901464,0.2757185715668247,0.20230119429070784,0.1400462962962963,0.11641595814257685,0.14084507042253522,814,490,136,0.8431952662721893,0.7925531914893617,0.8030542390731964,0.7568487018800358,0.6564007421150279,0.42751414888985634,0.2983737139064056,0.11643835616438356,76,111,32,0.4130710659898477,0.28197158081705154,0.1979020979020979,0.154296875,0.1469440832249675,0.15022421524663676,0.11267605633802817,0.2064516129032258,267,268,81,0.313571227872998,0.1685524775653531,0.14410187667560323,0.16569428238039674,0.1761006289308176,0.1989342806394316,0.20315581854043394,0.17841409691629956,185,140,97,0.7948377581120945,0.772547728768927,0.5515252976190477,0.38374104274771437,0.31882202304737517,0.30726770929162833,0.3169734151329243,0.42543859649122806
Dom. 3 Quadragesimae,Dom. 4 Quadragesimae,3772,2966,2035,0.9113560684349523,0.8878343399482312,0.8631556533465824,0.7932991722506898,0.7232100856148274,0.6898712147580925,0.5919597989949749,0.43270253029980865,644,720,353,0.9295845152678125,0.8898670499461013,0.9132239200150915,0.8727237504843084,0.7786816854401335,0.5373883928571429,0.4905811623246493,0.34915924826904055,80,152,45,0.43063228974831186,0.28885400313971743,0.22337188070602557,0.19527145359019266,0.19930875576036866,0.18306636155606407,0.23255813953488372,0.24064171122994651,581,128,83,0.21774744027303755,0.1535365152386429,0.142721217887726,0.19148936170212766,0.16491596638655462,0.14378238341968913,0.1430615164520744,0.13258785942492013,267,346,204,0.9046426185704742,0.9194444444444444,0.8694158075601375,0.7671499675394936,0.5402914064823074,0.45968216597998823,0.433252427184466,0.49877750611246946
