source_partition,n_of_sources,f_p_395,f_p_1037,f_p_704,f_p_727,f_p_534,f_p_589,f_p_382,f_p_472,f_p_665,f_p_675,f_p_732,f_p_557,f_p_938,f_p_605,f_p_914,f_p_1045,f_p_650
9,31,0.022,0.357,0.302,0.141,0.004,0.006,0.0,0.0,0.003,0.017,0.001,0.245,0.317,0.004,0.0,0.0,0.0
150,18,0.011,0.0,0.0,0.012,0.02,0.169,0.0,0.0,0.027,0.056,0.032,0.013,0.0,0.004,0.0,0.218,0.0
197,13,0.081,0.347,0.254,0.143,0.167,0.408,0.0,0.0,0.327,0.227,0.096,0.362,0.385,0.087,0.0,0.388,0.169
15,53,0.05,0.472,0.36,0.156,0.032,0.446,0.0,0.0,0.363,0.23,0.037,0.39,0.483,0.015,0.0,0.524,0.052
34,18,0.016,0.232,0.159,0.08,0.001,0.041,0.0,0.0,0.138,0.033,0.003,0.147,0.246,0.002,0.0,0.002,0.066
145,7,0.005,0.281,0.155,0.083,0.0,0.011,0.0,0.0,0.253,0.079,0.0,0.008,0.383,0.0,0.0,0.263,0.147
245,20,0.023,0.003,0.0,0.003,0.01,0.162,0.0,0.0,0.0,0.029,0.015,0.174,0.0,0.008,0.0,0.0,0.0
275,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,50,0.01,0.563,0.044,0.009,0.058,0.547,0.0,0.0,0.426,0.005,0.009,0.542,0.618,0.39,0.0,0.597,0.0
278,8,0.014,0.106,0.071,0.039,0.01,0.12,0.0,0.0,0.082,0.053,0.023,0.103,0.115,0.004,0.0,0.125,0.02
172,16,0.038,0.008,0.0,0.003,0.052,0.5,0.0,0.0,0.509,0.248,0.072,0.059,0.0,0.019,0.0,0.575,0.258
126,11,0.053,0.118,0.0,0.0,0.213,0.573,0.0,0.0,0.231,0.007,0.047,0.342,0.002,0.348,0.0,0.171,0.0
249,24,0.031,0.58,0.04,0.011,0.087,0.364,0.0,0.0,0.327,0.003,0.025,0.495,0.588,0.241,0.0,0.01,0.0
170,17,0.024,0.234,0.005,0.017,0.023,0.271,0.0,0.0,0.176,0.013,0.009,0.235,0.02,0.02,0.0,0.071,0.004
199,44,0.044,0.37,0.014,0.007,0.126,0.392,0.0,0.0,0.282,0.01,0.035,0.401,0.387,0.236,0.0,0.353,0.011
218,16,0.025,0.47,0.005,0.006,0.011,0.221,0.0,0.0,0.323,0.014,0.013,0.246,0.479,0.092,0.0,0.442,0.004
343,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
